player,nation,wc_year,matches,sot_faced,saves,goals_conceded,xg_faced,pen_saves,so_pen_saves,save_pct,xg_prevented
Kasper Schmeichel,Denmark,2022,3,11,8,3,1.229604326,0,0,72.7,-1.77
Dominik Livaković,Croatia,2022,7,31,24,7,5.1884423528,0,4,77.4,-1.81
Hernán Ismael Galíndez,Ecuador,2022,2,4,1,3,1.1090545349999998,0,0,25.0,-1.89
Jordan Pickford,England,2022,5,11,7,4,1.92560148,0,0,63.6,-2.07
Yassine Bounou,Morocco,2022,5,11,7,4,1.9289986882,0,2,63.6,-2.07
Manuel Neuer,Germany,2022,3,12,8,4,1.8960872635,0,0,66.7,-2.1
Wayne Hennessey,Wales,2022,2,7,4,3,0.74178587,0,0,57.1,-2.26
Hugo Lloris,France,2022,6,24,17,7,4.633766833,0,0,70.8,-2.37
Vanja Milinković Savić,Serbia,2022,3,24,16,8,4.9289631334,0,0,66.7,-3.07
Meshaal Aissa Barsham,Qatar,2022,2,8,3,5,1.656528842,0,0,37.5,-3.34
Mathew Ryan,Australia,2022,4,19,13,6,2.645025216,0,0,68.4,-3.35
Lawrence Ati-Zigi,Ghana,2022,3,17,10,7,3.4722428336,0,0,58.8,-3.53
Seung-Gyu Kim,South Korea,2022,4,20,12,8,4.017226924,0,0,60.0,-3.98
Milan Borjan,Canada,2022,3,15,8,7,2.7968578600000003,0,0,53.3,-4.2
Damián Emiliano Martínez,Argentina,2022,6,13,6,7,2.765674789,0,3,46.2,-4.23
Yann Sommer,Switzerland,2022,3,19,12,7,2.7743538545,0,0,63.2,-4.23
Seyed Hossein Hosseini,Iran,2022,2,11,5,6,1.738643926,0,0,45.5,-4.26
Edouard Mendy,Senegal,2022,4,14,7,7,2.624982299,0,0,50.0,-4.38
Keylor Navas Gamboa,Costa Rica,2022,3,22,11,11,4.611309046000001,0,0,50.0,-6.39
